,Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_LostYds,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fmb,FL,Week,PlayerID
80,Derrick Henry,TEN,0,0,0,0,0,0,0,0,,28,68,0,9,0,0,0,0,0,1,0,8,HenrDe00
81,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,33,0,13,0,0,8,McNiJe00
82,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,23,1,7,0,0,8,SwaiGe00
83,MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,14,0,0,8,PruiMy00
84,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,1,11,0,0,8,WestNi00
85,Marcus Johnson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,8,0,8,0,0,8,JohnMa07
86,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0,8,FirkAn00
87,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,8,RogeCh02
88,Logan Woodside,TEN,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0,8,WoodLo00
89,Ryan Tannehill,TEN,19,27,143,1,1,3,18,16,79.7,2,3,1,2,0,0,0,0,0,0,0,9,TannRy00
90,D'Onta Foreman,TEN,0,0,0,0,0,0,0,0,,5,29,0,11,0,0,0,0,0,0,0,9,ForeDO00
91,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,7,24,0,14,3,3,11,0,9,0,0,9,McNiJe00
92,Adrian Peterson,TEN,0,0,0,0,0,0,0,0,,10,21,1,6,1,1,5,0,5,0,0,9,PeteAd01
93,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,42,0,16,0,0,9,BrowAJ00
94,Julio Jones,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,35,0,13,0,0,9,JoneJu02
95,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,29,1,11,0,0,9,SwaiGe00
96,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0,9,WestNi00
97,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,9,FirkAn00
98,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,9,RogeCh02
99,Logan Woodside,TEN,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0,9,WoodLo00
100,Marcus Johnson,TEN,0,0,0,0,0,0,0,0,,1,-7,0,-7,0,0,0,0,0,0,0,9,JohnMa07
101,Ryan Tannehill,TEN,19,27,213,1,0,2,15,50,105.9,5,1,1,2,0,0,0,0,0,1,0,10,TannRy00
102,D'Onta Foreman,TEN,0,0,0,0,0,0,0,0,,11,30,0,6,2,2,48,0,39,0,0,10,ForeDO00
103,Adrian Peterson,TEN,0,0,0,0,0,0,0,0,,8,21,0,6,1,1,-1,0,-1,0,0,10,PeteAd01
104,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,1,7,0,7,4,1,16,0,16,0,0,10,BrowAJ00
105,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,4,7,0,4,3,1,1,0,1,0,0,10,McNiJe00
106,Marcus Johnson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,100,0,50,0,0,10,JohnMa07
107,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,26,0,16,0,0,10,SwaiGe00
108,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,10,WestNi00
109,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0,10,RogeCh02
110,MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0,10,PruiMy00
111,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0,10,FirkAn00
112,Dez Fitzpatrick,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,10,FitzDe00
113,Ryan Tannehill,TEN,35,52,323,1,4,2,6,46,58.4,2,3,0,3,0,0,0,0,0,2,0,11,TannRy00
114,Adrian Peterson,TEN,0,0,0,0,0,0,0,0,,9,40,0,16,2,2,4,0,5,0,0,11,PeteAd01
115,Dontrell Hilliard,TEN,0,0,0,0,0,0,0,0,,7,35,0,16,10,8,47,0,10,1,0,11,HillDo00
116,D'Onta Foreman,TEN,0,0,0,0,0,0,0,0,,7,25,0,9,1,1,15,0,15,0,0,11,ForeDO00
117,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,107,0,46,0,0,11,WestNi00
118,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,48,0,11,0,0,11,BrowAJ00
119,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,41,0,12,1,1,11,RogeCh02
120,Dez Fitzpatrick,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,35,1,18,0,0,11,FitzDe00
121,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,26,0,7,0,0,11,FirkAn00
122,Marcus Johnson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,11,JohnMa07
123,Tommy Hudson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,11,HudsTo00
124,Ryan Tannehill,TEN,11,21,93,1,1,2,8,24,60.2,5,24,0,11,0,0,0,0,0,1,0,12,TannRy00
125,Dontrell Hilliard,TEN,0,0,0,0,0,0,0,0,,12,131,1,68,2,1,2,0,2,1,1,12,HillDo00
126,D'Onta Foreman,TEN,0,0,0,0,0,0,0,0,,19,109,0,30,1,1,3,0,3,1,1,12,ForeDO00
127,Khari Blasingame,TEN,0,0,0,0,0,0,0,0,,3,6,0,3,0,0,0,0,0,1,1,12,BlasKh00
128,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,25,1,24,0,0,12,WestNi00
129,Cody Hollister,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,14,0,0,12,HollCo00
130,Dez Fitzpatrick,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0,12,FitzDe00
131,MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0,12,PruiMy00
132,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,12,SwaiGe00
133,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,1,0,12,FirkAn00
134,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,2,0,2,0,0,12,RogeCh02
135,Ryan Tannehill,TEN,20,31,191,0,0,4,30,24,81.5,4,29,1,17,0,0,0,0,0,0,0,14,TannRy00
136,D'Onta Foreman,TEN,0,0,0,0,0,0,0,0,,13,47,1,8,2,2,15,0,11,0,0,14,ForeDO00
137,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,8,16,0,12,1,0,0,0,0,0,0,14,McNiJe00
138,Dontrell Hilliard,TEN,0,0,0,0,0,0,0,0,,6,13,0,4,2,0,0,0,0,0,0,14,HillDo00
139,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,45,0,24,0,0,14,SwaiGe00
140,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,34,0,11,0,0,14,FirkAn00
141,Julio Jones,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,33,0,16,0,0,14,JoneJu02
142,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,31,0,15,0,0,14,WestNi00
143,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,1,0,14,RogeCh02
144,Racey McMath,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0,14,McMaRa00
145,Cody Hollister,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,14,HollCo00
146,MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,0,14,PruiMy00
147,Logan Woodside,TEN,0,0,0,0,0,0,0,0,,3,-3,0,-1,0,0,0,0,0,0,0,14,WoodLo00
